Feature name;Feature value
Okres gwarancji;24 miesiące (gwarancja sprzedawcy)
Okres gwarancji;36 miesięcy (gwarancja producenta)
Okres gwarancji;72 miesiące (gwarancja producenta)
Okres gwarancji;60 miesięcy (gwarancja producenta)
Okres gwarancji;36 miesięcy (gwarancja sprzedawcy)
Okres gwarancji;24 miesiące (gwarancja producenta)
Okres gwarancji;Dożywotnia (gwarancja producenta)
Okres gwarancji;36 miesiące (gwarancja dystrybutora)
Okres gwarancji;84 miesiące (gwarancja producenta)
Okres gwarancji;120 miesięcy (gwarancja producenta)
Okres gwarancji;60 miesięcy (gwarancja sprzedawcy)
Okres gwarancji;12 miesięcy (gwarancja producenta)
Producent;Modecom
Producent;Logic Concept
Producent;Qoltec
Producent;AMD
Producent;Asus
Producent;ASUS
Producent;Endorfy
Producent;Silentium PC
Producent;Adata
Producent;Lexar
Producent;MSI
Producent;Patriot
Producent;Plextor
Producent;Samsung
Producent;Team Group
Producent;Gigabyte
Producent;PALIT
Producent;Power Color
Producent;Sapphire
Producent;Sapphire Technology
Producent;TP-LINK
Producent;Natec
Producent;be quiet!
Producent;KRUX
Producent;Hikvision
Producent;ADATA
Producent;Corsair
Producent;ASRock
Producent;Intel
Producent;SilentiumPC
Producent;PNY
Producent;G.SKILL
Producent;AsRock
Producent;Palit
Producent;Patriot Pamięć DDR4 Viper Elite II 16GB/3200(2*8GB) Red CL18
Producent;Silicon Power
Producent;Acer
Producent;Redragon
Producent;Logic
Producent;SPC Gear
Producent;CHERRY
Producent;Take Me
Producent;Trust
Producent;Savio
Producent;ACAR
Producent;Hitachi-LG
Producent;McAfee
Producent;Microsoft
Producent;ASUS ROG
Model;Aberdeen Blue
Model;LA-1W90TO
Model;Monolith
Model;Extensa 15
Model;Latitude 3340
Model;Latitude 3440
Model;Latitude 3540
Model;Latitude 5340
Model;Latitude 5440
Model;Latitude 5530
Model;Latitude 5540
Model;Latitude 7340
Model;Latitude 7440
Model;Latitude 7440 2in1
Model;Latitude 7640
Model;Latitude 9440 2-in-1
Model;Vostro 3510
Model;Vostro 3530
Model;XPS 13 9315
Model;XPS 13 9320
Model;XPS 15 9530
Model;250 G9
Model;255 G9
Model;HP EliteBook 640 14 inch G10 Notebook PC
Model;EliteBook 860 16 inch G10 Notebook PC
Model;HP Dragonfly 13.5 inch G4 Notebook PC
Model;8A3S4EA
Model;8A3S6EA
Model;HP Elite x360 1040 14 inch G10 2-in-1 Notebook PC
Model;HP EliteBook 840 G10
Model;HP EliteBook 1040 14 inch G10 Notebook PC
Model;HP EliteBook 630 13.3 inch G10 Notebook PC
Model;HP EliteBook 640 14 inch G9 Notebook PC
Model;HP EliteBook 645 14 inch G10 Notebook PC
Model;HP EliteBook 650 15.6 inch G9 Notebook PC
Model;HP EliteBook 655 15.6 inch G10 Notebook PC
Model;HP EliteBook 840 G9
Model;HP EliteBook 860 16 inch G10 Notebook PC
Model;EliteBook 1040 14 inch G10 Notebook PC
Model;EliteBook 840 14 inch G9 Notebook PC
Model;HP ProBook 440 G10
Model;HP ProBook 445 14 inch G10 Notebook PC
Model;HP ProBook 450 G10
Model;HP ProBook 455 15.6 inch G10 Notebook PC
Model;Elite x360 1040 14 inch G10 2-in-1 Notebook PC
Model;KM1405.2-G
Model;ThinkBook 14 G6 IRL
Model;ThinkBook 14 G6
Model;ThinkBook 16 G6 IRL
Model;ThinkBook 16 G6
Model;ThinkPad E14 Gen 5
Model;ThinkPad E14 G5
Model;ThinkPad E16 G1
Model;ThinkPad E16 Gen 1
Model;ThinkPad L13 Gen 4
Model;21FN0008PB
Model;ThinkPad L14 AMD G4
Model;ThinkPad L14 Gen 4
Model;ThinkPad L14 G3
Model;ThinkPad L14 G4
Model;ThinkPad L15 Gen 4
Model;ThinkPad L15 Gen 3
Model;V14 G4
Model;V14 Gen 4 IRU
Model;V15 G4
Model;Lenovo V15 G4 IRU
Model;Lenovo V15 G4 IAH
Model;Lenovo V17 G4 IRU
Model;ThinkPad E14 Gen 4
Model;ThinkPad T16 G2
Model;ThinkPad Carbon G11
Model;ThinkPad T14 Gen 3
Model;ThinkPad T14 Gen 4
Model;ThinkPad T14s G3
Model;ThinkPad T14s Gen 3
Model;ThinkPad X1 Extreme Gen 5
Model;ThinkPad X13 Yoga G4
Model;ThinkPad X13s Gen 1
Model;mBook14
Model;Surface Laptop 5
Model;ZRF-00009
Model;YZY-00009
Model;8VJ-00003
Model;RBY-00009
Model;XK1-00029
Model;Surface Studio
Model;Surface Pro 9 QIA-00004
Model;Satellite Pro A50-J-12G
Model;Ryzen 5 3600
Model;TUF GAMING Z690-PLUS D4
Model;Ryzen 7 2700
Model;Ryzen 9 3900 PRO
Model;GeForce RTX™ 4070 12GB DUAL OC
Model;Fera 5
Model;Fortis 5
Model;Spartan 5 ARGB
Model;Spartan 5 MAX ARGB
Model;Fortis 5 ARGB
Model;Navis F240
Model;Navis F240 ARGB
Model;Navis F280
Model;Navis F360
Model;Navis F360 ARGB
Model;XPG SX8200 Pro
Model;NM620 512GB
Model;M371 1TB
Model;P210
Model;P300 1TB
Model;M9PeGN
Model;980 1TB M.2
Model;XX2 1TB
Model;Supremo FM5 Gold 650W
Model;Vero L5 Bronze 500W
Model;GeForce RTX™ 4070 ProArt 12GB OC
Model;GeForce RTX™ 4070Ti ProArt 12GB
Model;GeForce RTX™ 4070Ti TUF GAMING 12GB
Model;DUAL RTX 2060 EVO
Model;DUAL RTX 2060 Evo OC
Model;RTX 3060 DUAL OC V2 12G
Model;RX 6700 XT ROG STRIX GAMING OC 12GB
Model;RX 6700XT TUF GAMING OC 12G
Model;GeForce RTX™ 4070 12GB WINDFORCE OC
Model;RTX 3080 Ti AORUS WATERFORCE WB 12G
Model;RX 6500 XT GAMING OC 4G
Model;GeForce RTX™ 4080 16GB GAMING TRIO
Model;GeForce RTX 3060 VENTUS 2X OC 12GB DDR6
Model;GeForce RTX™ 4070 12GB JETSTREAM
Model;Red Devil AMD Radeon™ RX 6600XT 12GB GDDR6
Model;Pulse
Model;Sapphire RX 6950 XT NITRO+ 16G
Model;PCE-AX3000
Model;Archer T4U Plus
Model;Archer T5E
Model;TL-WN822N
Model;TL-WN881ND
Model;RHINO GO
Model;B760M-H/M.2
Model;B650 AORUS PRO AX
Model;Dark Base 700 Window Black
Model;Pure Base 500DX Window White
Model;ENDORFY Arx 500 AIR
Model;ENDORFY Arx 700 AIR
Model;ENDORFY Arx 700 ARGB
Model;Signum 300 Air
Model;Signum 300 ARGB
Model;Signum 300 Solid
Model;ASTRO
Model;COSMO
Model;LEDA
Model;VORTEX
Model;MAG Forge M100A
Model;U10
Model;Spectrix D41
Model;Vengeance RGB PRO
Model;Viper Steel 8GB 3200 MHz
Model;B450 Pro4 2.0
Model;Z490 Pro4
Model;Prime A520M-A II
Model;PRIME B450M-A II
Model;TUF B450-PRO GAMING
Model;TUF GAMING B450M-PLUS II
Model;H310M H 2.0
Model;Ryzen 3 4350G
Model;Ryzen 5 5600G
Model;Ryzen 5 5600X
Model;Ryzen 5 5650G
Model;Ryzen 7 5800X
Model;Ryzen™ 7 5800X3D
Model;Ryzen 7 7800X3D
Model;Ryzen 7 5750G MPK z chłodzeniem
Model;Ryzen 9 7950X3D
Model;i3-10100F
Model;Core i5 12400F
Model;Core i5-10400F
Model;Core i5-10600KF
Model;Core i9 12900KF
Model;Fluctus 120 PWM ARGB
Model;ML120 PRO RGB
Model;Supremo FM5 Gold 1000W
Model;Supremo FM5 Gold 750W
Model;Supremo FM5 Gold 850W
Model;Vero L5 Bronze 600W
Model;Vero L5 Bronze 700W
Model;MAG A650BN
Model;MPG A1000G PCIE5
Model;MPG A850G PCIE5
Model;MPG Ai1300P PCIE5
Model;Elementum E2 SI-450
Model;Elementum E2 550W 80Plus EU
Model;Karta graficzna PNY GeForce RTX 2070 SUPER XLR8 Gaming OC Triple Fan 8GB GDDR6
Model;SD600Q
Model;ASE900G-1TU32G2-CBK
Model;ASE900G-2TU32G2-CBK
Model;ASE900G
Model;Legend 700
Model;ALEG-710-1TCS
Model;Legend 710
Model;LEGEND 710
Model;ALEG-800-1000GCS
Model;LEGEND 800
Model;LEGEND 840
Model;Legend 850
Model;Legend 900
Model;LEGEND 960
Model;LEGEND 960 MAX
Model;Legend 970
Model;SU630
Model;Ultimate SU630
Model;SU650
Model;Ultimate SU650
Model;SU800
Model;Ultimate SU800
Model;XPG GAMIX S70 BLADE
Model;GAMMIX S11 Pro
Model;S11 Pro
Model;SPECTRIX S20G
Model;XPG SPECTRIX S40G
Model;XPG SX8200 PRO
Model;SC610
Model;SE920
Model;SD620
Model;SE760
Model;SE770
Model;Elite SE880
Model;SD250-2000GQN
Model;Geforce GT240
Model;Geforce GTX750
Model;Geforce GTX750Ti
Model;Geforce GTX750TI
Model;Radeon HD 6450
Model;Geforce GT 210
Model;Geforce GT420
Model;Geforce GT 610
Model;Geforce GT 730
Model;Radeon RX 550 4GB
Model;Ryzen 5700X
Model;AMD Radeon RX 6600 Challenger D
Model;Radeon RX 6800 XT
Model;RX7700XT PG 12GO
Model;RX7700XT SL 12GO
Model;RX7800XT CL 16GO
Model;RX7800XT SL 16GO
Model;A620M PRO RS WIFI
Model;B450 PRO4 R2.0
Model;B450 STEEL LEGEND
Model;B450M Pro4 R2.0
Model;B450M-HDV R4.0
Model;B550 Phantom Gaming 4
Model;B550M PHANTOM GAMING 4
Model;B550M Pro4
Model;B550M-HDV
Model;B550M-HVS SE
Model;B560M-HDV R3.0
Model;B650 PRO RS
Model;B650E PG RIPTIDE WIFI
Model;B650M PG Riptide
Model;B650M-H/M.2+
Model;B650M-HDV/M.2
Model;B760 PRO RS/D4
Model;B760 Pro RS
Model;B760 PRO RS/D4 WIFI
Model;B760M PG RIPTIDE
Model;B760M PRO RS/D4 WIFI
Model;B760M PRO RS/D4
Model;B760M STEEL LEGEND WIFI
Model;B760M-HDV/M.2 D4
Model;H310CM-DVS
Model;H610M-HVS/M.2
Model;X570 PHANTOM GAMING 4
Model;X570 PRO4
Model;X670E PG LIGHTNING
Model;X670E Steel Legend
Model;Z690 Phantom Gaming 4
Model;Z790 PG LIGHTNING
Model;Z790 PG Lightning/D4
Model;Z790 PG Riptide
Model;Z790 Pro RS
Model;Z790 PRO RS/D4
Model;Z790 Steel Legend WIFI
Model;Z790M PG Lightning/D4
Model;4060 DUAL OC V2 BULK
Model;GT 1030 OC
Model;GT730 2GB DDR5
Model;GT730
Model;GeForce RTX 3050 DUAL OC
Model;RTX 3050 Dual OC
Model;GeForce RTX 4060 Ti OC Edition
Model;Dual GeForce RTX 4060 Ti OC
Model;GeForce RTX 4060 Ti
Model;GeForce RTX 4070
Model;GeForce RTX 4070 Ti
Model;GeForce RTX 4080
Model;Dual Radeon RX 560
Model;6900XT ROG STRIX LC OC 16GB
Model;RTX 4060 ProArt
Model;RTX 4060 Ti
Model;DUAL-GTX1650-O4GD6-P-EVO
Model;PRIME B450-PLUS
Model;PRIME B450M-K II
Model;PRIME B650-PLUS
Model;PRIME B660-PLUS D4
Model;B660M-K
Model;PRIME H510M-E
Model;PRIME H510M-K
Model;H510M-K
Model;PRIME H610M-K D4
Model;H610M-K
Model;PRIME Z790-A WIFI
Model;PRIME Z790-P
Model;PRIME Z790-P WIFI D4
Model;PRIME Z790-P WIFI
Model;ROG Maximus Z790 Apex Encore
Model;ROG MAXIMUS Z790 HERO
Model;ROG STRIX X670E-E GAMING WIFI
Model;ROG STRIX X670E-F GAMING WIFI
Model;ROG STRIX Z790-A GAMING WIFI D4
Model;ROG STRIX Z790-A GAMING WIFI II
Model;ROG STRIX Z790-E GAMING WIFI
Model;ROG STRIX Z790-E GAMING WIFI II
Model;ROG STRIX Z790-F GAMING WIFI II
Model;TUF GAMING B550-PLUS
Model;TUF Gaming B550-Plus
Model;TUF GAMING B550-PLUS WIFI II
Model;TUF GAMING B650M-PLUS
Model;TUF GAMING B650M-PLUS WIFI
Model;TUF GAMING X670E-PLUS
Model;TUF Gaming Z790-Plus
Model;TUF GAMING Z790-PRO WIFI
Model;TUF GAMING A620M-PLUS WIFI
Model;Vengeance LPX
Model;MP600
Model;MP600 GS
Model;MP600 PRO Gen4
Model;MP600 Gen4 PCIe
Model;MP700
Model;MP600 PRO
Model;MP600 CORE XT
Model;X6
Model;P3
Model;X10 Pro
Model;T700
Model;X8
Model;X9
Model;X9 Pro
Model;T500
Model;XPG SPECTRIX S40G RGB 512GB
Model;Spatium M480 PRO 1TB
Model;Spatium M480 PRO 2TB
Model;S26361-F5782-L960
Model;F3-1600C10D-16GAO
Model;F3-10666CL9D-16GBXL
Model;F3-12800CL10D-16GBXL
Model;F3-12800CL10Q-32GBZL
Model;G.SKILL DDR3 4GB 1600MHz CL11
Model;G.SKILL DDR4 Aegis 8GB 2666MHz CL19
Model;GeForce RTX 3050
Model;AG450E500G-G
Model;3050 EAGLE OC 8GB DDR6
Model;GeForce RTX 3050 EAGLE OC
Model;GV-N3060GAMING OC-12GD 2.0
Model;GeForce RTX 3060 GAMING OC 8G (rev. 2.0)
Model;GeForce RTX 3060 WINDFORCE OC 12G rev. 2.0
Model;GV-N3060WF2OC-12GD 2.0
Model;GV-N4060AERO OC-8GD
Model;GV-N4060AORUS E-8GD
Model;4060 AORUS ELITE
Model;GV-N4060GAMING OC-8GD
Model;GV-N4060WF2OC-8GD
Model;GV-N4070EAGLE OC-12GD
Model;GV-N407TEAGLE OC-12GD 2.0
Model;GV-N4070WF3OC-12GD
Model;GeForce RTX 4080 16GB EAGLE OC
Model;GV-N4090GAMING OC-24GD
Model;RX 6600 EAGLE
Model;Radeon RX 7600 Gaming OC
Model;Radeon RX 7700 XT GAMING OC 12G
Model;7800XT Gaming OC
Model;A520M S2H
Model;B450M K
Model;B550 AORUS ELITE V2
Model;B550M Aorus Elite
Model;B550M DS3H AC
Model;B550M DS3H
Model;B650 GAMING X AX
Model;B650E AORUS MASTER
Model;B650M GAMING X AX
Model;B650M S2H
Model;B760 AORUS ELITE AX
Model;B760 AORUS ELITE
Model;B760 DS3H AX DDR4
Model;B760 GAMING X AX DDR4
Model;B760 GAMING X
Model;B760 GAMING X DDR4
Model;B760M Gaming
Model;B760M Gaming X AX DDR4
Model;B760M GAMING X DDR4
Model;H410M S2H V2
Model;H510M H V2
Model;H510M K V2
Model;H610M S2H V2 DDR4
Model;X670 AORUS ELITE AX
Model;X670 Gaming X AX V2
Model;X670E AORUS MASTER
Model;Z590 D
Model;Z690 AORUS MASTER
Model;Z790 AERO G
Model;Z790 AORUS ELITE AX ICE
Model;Z790 AORUS ELITE AX
Model;Z790 AORUS MASTER
Model;Z790 AORUS MASTER X
Model;Z790 AORUS PRO X
Model;Z790 D DDR4
Model;Z790 GAMING X AX
Model;Z790 UD AX
Model;CL100
Model;PX500
Model;DYSK SSD CX400 GEN.2 SATA III 2,5
Model;CX400
Model;HL200
Model;IRDM PRO M.2
Model;IRDM PRO SLIM
Model;SSDPR-PX500-01T-80-G2
Model;PX500 gen.2
Model;PX600
Model;PX700
Model;RX 560 Phantom Gaming Elite 4GB
Model;ROG Strix Radeon™ RX 560 4GB GDDR5
Model;GTX 1650 TUF GAMING 4G GDDR6
Model;GeForce RTX 4060 VENTUS 2X BLACK 8G OC
Model;4060 Ti Dual 8GB GDDR6
Model;DC600M
Model;FURY Renegade
Model;KC3000
Model;NV2
Model;SNV2S/2000G
Model;KC600
Model;SXS2000
Model;EXCERIA G2 NVMe
Model;Exceria 480GB SATA3
Model;Exceria 500GB NVMe
Model;Exceria 960GB SATA3
Model;NM620
Model;LNM620X001T-RNNNG
Model;NM620X002TRNNNG
Model;NM710
Model;NM790
Model;NM790 radiator
Model;NM800 PRO
Model;NM800 Pro
Model;NM800Pro
Model;NQ100
Model;NS100
Model;PLAY
Model;2400
Model;5400 MAX
Model;5400 PRO
Model;RX 7900 XTX GAMING TRIO CLASSIC
Model;GTX 1650 D6
Model;GeForce RTX 4060
Model;RTX 4060 Ti GAMING X 16G
Model;Gaming X Slim
Model;Ventus 3X 16G OC
Model;RTX 4070 Gaming Slim
Model;GeForce RTX 4070 Ti VENTUS 2X 12GB OC
Model;GeForce RTX™ 4070 VENTUS 2X 12G OC
Model;GeForce RTX 4070 VENTUS 3X 12G OC
Model;Radeon RX 6400
Model;Radeon RX 6750 XT MECH 2X 12G V1
Model;3050 GAMING X
Model;GeForce RTX 4060 Ti GAMING X SLIM 8G
Model;B450M-A PRO MAX
Model;B550M PRO-VDH WIFI
Model;MSI B560M PRO-E
Model;MAG B650M MORTAR WIFI
Model;MAG Z790 TOMAHAWK WIFI DDR4
Model;MAG Z790 TOMAHAWK WIFI
Model;PRO B760-P DDR4 II
Model;PRO B760-P WIFI DDR4
Model;PRO B760M-P
Model;PRO Z790-P WIFI
Model;PRO Z790-S WIFI
Model;GeForce RTX 3050 StormX
Model;GeForce RTX 3060
Model;GeForce RTX 4080 GAMEROCK
Model;GeForce RTX 4080 GamingPro OC
Model;Viper Steel
Model;PBE120GS25SSDR
Model;P220
Model;Viper P400 Lite
Model;Viper VP4300 Lite
Model;PBE240GS25SSDR
Model;Viper VP4300
Model;P300
Model;P310
Model;Viper Elite II 16GB/3200(2*8GB)
Model;Viper Gaming
Model;PBE192TS25SSDR
Model;PBE480GS25SSDR
Model;PBE960GS25SSDR
Model;Asus ROG STRIX Z790-F GAMING WIFI
Model;PRIME H410M-K
Model;B450 AORUS M
Model;H310M S2
Model;Z490M GAMING X
Model;CS3140
Model;CS2230
