Product ID;Active;Name;Categories;Price tax excluded;Tax rules ID;Cost price;On sale;Discount amount;Discount percent;Discount from;Discount to;References;Supplier references;Suppliers;Brand;EAN13;UPC;EPN;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock;Delivery time of out-of-stock;Quantity;Minimal quantity;Low stock level;Send me an email;Visibility;Additional shipping cost;Unit for base price;Base price;Summary;Description;Tags;Meta title;Meta keywords;Meta decription;Rewritten URL;Label when in stock;Label when backorder allowed;Avaialble for order;Product availability date;Product creation date;Show price;Image URLs;Image alt texts;Delete existing images;features;Available online only;Condition
969;1;Torba do laptopa Modecom Aberdeen Blue;Torby do laptopów;99.99;;99.99;0;0;0;;;;;;Modecom;;;;;;;;;;;;;;;;;;99.99;99.99;Jeśli zastanawiasz się jakie cechy powinna mieć dobra, uniwersalna torba do laptopa – to odpowiedź jest prosta – MODECOM ABERDEEN spełnia wszelkie potrzeby wymagającego użytkownika. Ochrona, wygoda, komfort i styl łączą się w jednej torbie zapewniając ponadprzeciętne bezpieczeństwo dla laptopa. W dodatku niewielki ciężar torby ułatwia przenoszenie laptopa i dokumentów.;;;;;;;;1;;;1;;;1;"Okres gwarancji: 24 miesiące (gwarancja sprzedawcy)|Producent: Modecom|Model: Aberdeen Blue|Kod produktu (producenta): TOR-MC-ABERDEEN-15-BLU|Typ: Torba|Przekątna ekranu: 15.6""|Kolor: Niebieski|Rączka: Tak|Pasek na ramię: Tak|Zewnętrzne kieszenie: Tak|Materiał: Nylon";0;new
1494;1;Zasilacz dedykowany zasilacz do laptopów Toshiba 90W LOGIC LA-1W90TO;Zasilacze do laptopów;40.00;;40.00;0;0;0;;;;;;Logic Concept;;;;;;;;;;;;;;;;;;40.00;40.00;Dedykowanych zasilacz LOGIC do komputerów przenośnych, których zapotrzebowanie na moc nie przekracza 90W. Używając zasilaczy Logic można mieć pewność, że Twój komputer będzie ładowany zawsze prądem o stabilnym napięciu. Zastosowane w urządzeniach serii LA-1W90XX wysokiej klasy komponenty, czynią z niego jedne z najbardziej niezawodnych dedykowanych zasilaczy do komputerów przenośnych na rynku.;;;;;;;;1;;;1;;;1;Okres gwarancji: 24 miesiące (gwarancja sprzedawcy)|Producent: Logic Concept|Model: LA-1W90TO|Kod produktu (producenta): ZL-LA-1W90TO|Dedykowany model: Toshiba|Moc: 90 W|Napięcie prądu wyjściowego: 19 V|Typ opakowania: BOX;0;new
6605;1;Zasilacz uniwersalny Qoltec Monolith 65W;Zasilacze do laptopów;75.00;;75.00;0;0;0;;;;;;Qoltec;;;;;;;;;;;;;;;;;;75.00;75.00;Automatyczny uniwersalny zasilacz sieciowy marki Qoltec charakteryzuje się najlepszą jakością oraz wykonaniem z wysokiej jakości materiałów. Idealnie sprawdzi się w domu oraz w pracy, jako zasilacz główny lub zapasowy. Uniwersalny zasilacz sieciowy o mocy 65W, posiada 8 modeli wtyczek, dzięki którym można go dopasować do kilku modeli laptopów. Nowoczesny, o wysokiej sprawności zasilacz szybko i bezpiecznie naładuje laptopa dzięki precyzyjnemu dostosowaniu parametrów ładowania. Wyposażony w zaawansowane technologie (zabezpieczenia) przeciwprzepięciowe, przeciwprzeciążeniowe przeciwzwarciowe i termiczne, które wpływają na bezpieczeństwo w użytkowaniu. Zasilacz sieciowy cechuje się niskim zużyciem energii oraz wysoką wydajnością. W zestawie razem z zasilaczem znajduje się kabel zasilający oraz rzep którym można regulować długość kabla zasilacza Qoltec.;;;;;;;;1;;;1;;;1;Okres gwarancji: 24 miesiące (gwarancja sprzedawcy)|Producent: Qoltec|Model: Monolith|Kod produktu (producenta): 50011|Dedykowany model: Uniwersalny|Moc: 65 W|Napięcie prądu wyjściowego: 18.5 V / 19 V / 19.5 V / 20 V|Natężenie prądu wyjściowego: 3.5 A|Wymiary końcówki ładowania: 4.8x1.7x12.5mm (HP), 5.5x2.5x12.5mm (Acer), 5.0x3.2x12mm (Samsung), 6.5x4.3x12.5mm (Sony), 5.5x1.7x12.5mm (Acer), 7.4x5.0x12.5mm pin 0.6 (HP), 7.4x5.0x13.5mm (Dell), 11x4.2mm (Lenovo)|Typ opakowania: BOX;0;new
25053;1;Acer Notebook Extensa EX215-32-C3NJ  WIN11H/N5100/8GB/256SSD/UMA/15.6;Laptopy\Notebooki\Ultrabooki;1341.88;;1341.88;0;0;0;;;;;;Acer;;;;;;;;;;;;;;;;;;1341.88;1341.88;Laptopy Extensa 15 zostały zaprojektowane z myślą o pracownikach potrzebujących mocy obliczeniowych i funkcjonalności do wykonywania codziennych obowiązków. Mają wszystko, czego potrzeba do wygodnej pracy, a pełne naładowanie baterii wystarcza nawet na 9 godzin funkcjonowania urządzenia. Te smukłe i lekkie laptopy są niezwykle wydajne i zapewniają wszystkie funkcje niezbędne do prowadzenia firmy.;;;;;;;;1;;;1;;;1;Model: Extensa 15|Liczba rdzeni: 4|Typ: Notebook|Intel vPro: Nie|Bluetooth: 4.2|Liczba wątków: 4|Rodzina procesora: Intel Celeron|Taktowanie procesora: 1.1 GHz|Cache L3: 4 MB|Taktowanie (Boost): 2.8 GHz|Obsługa ECC: Nie|Pozostałe informacje o procesorze: Intel Celeron N5100|Przekątna ekranu: 15,6''|Rozdzielczość: 1920 x 1080 (FHD 1080)|Powierzchnia matrycy: Matowa|Technologia podświetlania: Diody LED|Ekran dotykowy: Nie|Model karty graficznej: Intel UHD Graphics|Producent chipsetu: Intel|Zainstalowana pamięć RAM: 8 GB|Maks. wielkość pamięci: 16 GB|Liczba obsadzonych gniazd pamięci: 1|Rodzaj pamięci: DDR4|Typ dysku: SSD|Pojemność SSD: 256 GB|Interfejs dysku SSD: PCI-Express|Napęd optyczny: Brak|Komunikacja: Bluetooth • LAN 10/100/1000 • WiFi 802.11 ac|Modem WWAN (3G) / LTE (4G): Nie|Gniazda rozszerzeń: Nie|Porty USB: 1 x USB 2.0 Type-A • 2 x USB 3.0 Type-A|Porty wideo: 1 x HDMI|Czytnik kart pamięci: Nie|Pozostałe porty we/wy: 1 x Audio (Combo) • 1 x RJ-45|Kamera internetowa: Tak|Pojemność baterii: 36 Wh|Typ ogniwa: Li-ion|Liczba komór: 2-komorowa|System operacyjny: Windows 11 Home|Kolor: Czarny|Wysokość: 19.9 mm|Szerokość: 363.4 mm|Głębokość: 238.4 mm|Waga: 1.7 kg|Typ gwarancji: gwarancja zewnętrzna|Okres gwarancji (miesiące): 24|Dokowanie: Nie|Podświetlana klawiatura: Nie|Czytnik linii papilarnych: Nie;0;new
25052;1;Acer Notebook Extensa EX215-32-P7WU    WIN11H/N6000/8GB/256GB/UMA/15.6;Laptopy\Notebooki\Ultrabooki;1559.34;;1559.34;0;0;0;;;;;;Acer;;;;;;;;;;;;;;;;;;1559.34;1559.34;Ten podstawowy laptop zapewnia wydajność, jakiej potrzebujesz w domu lub pracy. Dzięki procesorowi Intel1 w pełnej gotowości wszystkie aplikacje działają w niezmiennie płynnym tempie.;;;;;;;;1;;;1;;;1;Intel vPro: Nie|Model: Extensa 15|Liczba rdzeni: 4|Typ: Notebook|Rodzina procesora: Intel Pentium Silver|Liczba wątków: 4|Taktowanie procesora: 1.1 GHz|Cache L3: 4 MB|Taktowanie (Boost): 3.3 GHz|Obsługa ECC: Nie|Pozostałe informacje o procesorze: Intel Pentium Silver N6000|Przekątna ekranu: 15,6''|Rozdzielczość: 1920 x 1080 (FHD 1080)|Powierzchnia matrycy: Matowa|Technologia podświetlania: Diody LED|Ekran dotykowy: Nie|Model karty graficznej: Intel UHD Graphics|Producent chipsetu: Intel|Zainstalowana pamięć RAM: 8 GB|Maks. wielkość pamięci: 16 GB|Liczba obsadzonych gniazd pamięci: 1|Rodzaj pamięci: SODIMM DDR4|Typ dysku: SSD|Pojemność SSD: 256 GB|Interfejs dysku SSD: PCI-Express|Napęd optyczny: Brak|Komunikacja: Bluetooth • LAN 10/100/1000 • WiFi 802.11 ac|Modem WWAN (3G) / LTE (4G): Nie|Gniazda rozszerzeń: Nie|Porty USB: 1 x USB 2.0 Type-A • 2 x USB 3.0 Type-A|Porty wideo: 1 x HDMI|Czytnik kart pamięci: Nie|Pozostałe porty we/wy: 1 x Audio (Combo) • 1 x RJ-45|Kamera internetowa: Tak|Pojemność baterii: 36 mAh|Typ ogniwa: Li-ion|Liczba komór: 2-komorowa|System operacyjny: Windows 11 Home|Kolor: Czarny|Wysokość: 19.9 mm|Szerokość: 363.4 mm|Głębokość: 238.4 mm|Waga: 1.7 kg|Typ gwarancji: gwarancja zewnętrzna|Okres gwarancji (miesiące): 24|Dokowanie: Nie|Podświetlana klawiatura: Nie|Czytnik linii papilarnych: Nie;0;new
23544;1;Dell Notebook Latitude 3340 Win11Pro i5-1335U/8GB/256GB SSD/13.3 FHD/Integrated/FgrPr/FHD Cam/Mic/WLAN + BT/Backlit Kb/3 Cell/3Y;Laptopy\Notebooki\Ultrabooki;4379.39;;4379.39;0;0;0;;;;;;Dell;;;;;;;;;;;;;;;;;;4379.39;4379.39;Zbliża pracę do Ciebie13.3-calowy notebook oferujący inteligentną wydajność. Nowy touchpad, ulepszone funkcje współpracy i procesory Intel Core trzynastej generacji.;;;;;;;;1;;;1;;;1;Model: Latitude 3340|Liczba rdzeni: 10|Typ: Notebook|Intel vPro: Nie|Jasność: 250 nits|TCO Certified: Tak|Rodzina procesora: Intel Core i5|Liczba wątków: 12|Cache L3: 12 MB|Taktowanie (Boost): 4.6 GHz|Generacja procesora: Trzynasta|Obsługa ECC: Nie|Pozostałe informacje o procesorze: Intel Core i5-1335U|Przekątna ekranu: 13,3''|Rozdzielczość: 1920 x 1080 (FHD 1080)|Powierzchnia matrycy: Matowa|Technologia podświetlania: Diody LED|Ekran dotykowy: Nie|Model karty graficznej: Intel Iris Xe|Producent chipsetu: Intel|Zainstalowana pamięć RAM: 8 GB|Maks. wielkość pamięci: 8 GB|Liczba obsadzonych gniazd pamięci: 1|Rodzaj pamięci: LPDDR5|Częstotliwość szyny pamięci: 4800 MHz|Typ dysku: SSD|Pojemność SSD: 256 GB|Interfejs dysku SSD: PCI-Express|Napęd optyczny: Brak|Komunikacja: Bluetooth • WiFi 802.11 ax|Modem WWAN (3G) / LTE (4G): Nie|Gniazda rozszerzeń: Nie|Porty USB: 1 x USB 3.1 Type-C • 2 x USB 3.0 Type-A|Porty wideo: 1 x HDMI|Czytnik kart pamięci: Nie|Pozostałe porty we/wy: 1 x Audio (Combo)|Kamera internetowa: Tak|Pojemność baterii: 54 Wh|Typ ogniwa: Li-ion|Liczba komór: 3-komorowa|System operacyjny: Windows 11 Pro|Kolor: Szary|Wysokość: 16.79 mm|Szerokość: 305.96 mm|Głębokość: 210.86 mm|Waga: 1.25 kg|Typ gwarancji: gwarancja zewnętrzna|Okres gwarancji (miesiące): 36|Format szerokości SSD: M.2|Dokowanie: Nie|Podświetlana klawiatura: Tak|Akcesoria w zestawie: Dokumentacja Zasilacz 65W Europejski przewód zasilający|Czytnik linii papilarnych: Tak|Informacje o gwarancji: 3 lata Pro Support|Dodatkowe oprogramowanie: Wersja próbna pakietu Microsoft Office;0;new
23546;1;Dell Notebook Latitude 3340 Win11Pro i5-1345U/16GB/256GB SSD/13.3 FHD/Intel Iris Xe/FgrPr/FHD Cam/Mic/WLAN + BT/Backlit Kb/3 Cel;Laptopy\Notebooki\Ultrabooki;4733.83;;4733.83;0;0;0;;;;;;Dell;;;;;;;;;;;;;;;;;;4733.83;4733.83;Zbliża pracę do Ciebie13.3-calowy notebook oferujący inteligentną wydajność. Nowy touchpad, ulepszone funkcje współpracy i procesory Intel Core trzynastej generacji.;;;;;;;;1;;;1;;;1;Model: Latitude 3340|Liczba rdzeni: 10|Typ: Notebook|Intel vPro: Nie|Jasność: 250 nits|TCO Certified: Tak|Rodzina procesora: Intel Core i5|Liczba wątków: 12|Cache L3: 12 MB|Taktowanie (Boost): 4.7 GHz|Generacja procesora: Trzynasta|Obsługa ECC: Nie|Pozostałe informacje o procesorze: Intel Core i5-1345U|Przekątna ekranu: 13,3''|Rozdzielczość: 1920 x 1080 (FHD 1080)|Powierzchnia matrycy: Matowa|Technologia podświetlania: Diody LED|Ekran dotykowy: Nie|Model karty graficznej: Intel Iris Xe|Producent chipsetu: Intel|Zainstalowana pamięć RAM: 16 GB|Maks. wielkość pamięci: 16 GB|Rodzaj pamięci: LPDDR5|Częstotliwość szyny pamięci: 4800 MHz|Typ dysku: SSD|Pojemność SSD: 256 GB|Interfejs dysku SSD: PCI-Express|Napęd optyczny: Brak|Komunikacja: Bluetooth • WiFi 802.11 ax|Modem WWAN (3G) / LTE (4G): Nie|Gniazda rozszerzeń: Nie|Porty USB: 1 x USB 3.1 Type-C • 2 x USB 3.0 Type-A|Porty wideo: 1 x HDMI|Czytnik kart pamięci: Nie|Pozostałe porty we/wy: 1 x Audio (Combo)|Kamera internetowa: Tak|Pojemność baterii: 54 Wh|Typ ogniwa: Li-ion|Liczba komór: 3-komorowa|System operacyjny: Windows 11 Pro|Kolor: Szary|Wysokość: 16.79 mm|Szerokość: 305.96 mm|Głębokość: 210.86 mm|Waga: 1.25 kg|Typ gwarancji: gwarancja zewnętrzna|Okres gwarancji (miesiące): 36|Format szerokości SSD: M.2|Dokowanie: Nie|Podświetlana klawiatura: Tak|Akcesoria w zestawie: Dokumentacja Zasilacz 65W Europejski przewód zasilający|Czytnik linii papilarnych: Tak|Informacje o gwarancji: 3 lata Pro Support|Dodatkowe oprogramowanie: Wersja próbna pakietu Microsoft Office;0;new
23548;1;"Dell Notebook Latitude 3440 Win11Pro i3-1315U/8GB/256GB SSD/14.0"" FHD/Integrated/FgrPr/FHD/IR Cam/Mic/WLAN + BT/Backlit Kb/3 Cel";Laptopy\Notebooki\Ultrabooki;3836.42;;3836.42;0;0;0;;;;;;Dell;;;;;;;;;;;;;;;;;;3836.42;3836.42;Notebook Latitude 3440;;;;;;;;1;;;1;;;1;TCO Certified: Tak|Model: Latitude 3440|Liczba rdzeni: 6|Typ: Notebook|Intel vPro: Nie|Jasność: 250 nits|Rodzina procesora: Intel Core i3|Liczba wątków: 8|Cache L3: 10 MB|Taktowanie (Boost): 4.5 GHz|Generacja procesora: Trzynasta|Obsługa ECC: Nie|Pozostałe informacje o procesorze: Intel Core i3-1315U|Przekątna ekranu: 14''|Rozdzielczość: 1920 x 1080 (FHD 1080)|Powierzchnia matrycy: Matowa|Technologia podświetlania: Diody LED|Typ matrycy: TFT WVA|Ekran dotykowy: Nie|Model karty graficznej: Intel Iris Xe|Producent chipsetu: Intel|Zainstalowana pamięć RAM: 8 GB|Maks. wielkość pamięci: 64 GB|Liczba obsadzonych gniazd pamięci: 1|Liczba wolnych gniazd pamięci: 1|Rodzaj pamięci: DDR4|Częstotliwość szyny pamięci: 3200 MHz|Typ dysku: SSD|Pojemność SSD: 256 GB|Interfejs dysku SSD: PCI-Express|Napęd optyczny: Brak|Komunikacja: Bluetooth • LAN 10/100/1000 • WiFi 802.11 ax|Modem WWAN (3G) / LTE (4G): Nie|Gniazda rozszerzeń: Nie|Porty USB: 1 x USB 3.1 Type-C • 2 x USB 3.0 Type-A|Porty wideo: 1 x HDMI|Czytnik kart pamięci: Nie|Pozostałe porty we/wy: 1 x Audio (Combo) • 1 x RJ-45|Kamera internetowa: Tak|Pojemność baterii: 54 Wh|Typ ogniwa: Li-ion|Liczba komór: 3-komorowa|System operacyjny: Windows 11 Pro|Kolor: Szary|Wysokość: 17.68 mm|Szerokość: 322.17 mm|Głębokość: 219.43 mm|Waga: 1.54 kg|Typ gwarancji: gwarancja zewnętrzna|Okres gwarancji (miesiące): 36|Format szerokości SSD: M.2|Dokowanie: Nie|Podświetlana klawiatura: Tak|Akcesoria w zestawie: Dokumentacja Zasilacz 65W Europejski przewód zasilający|Czytnik linii papilarnych: Tak|Informacje o gwarancji: 3 lata Pro Support|Dodatkowe oprogramowanie: Wersja próbna pakietu Microsoft Office;0;new
23550;1;Dell Notebook Latitude 3440 Win11Pro i5-1335U/16GB/512GB SSD/14.0 FHD/Intel Iris Xe/FgrPr/FHD/IR Cam/Mic/WLAN + BT/Backlit Kb/3 ;Laptopy\Notebooki\Ultrabooki;4532.38;;4532.38;0;0;0;;;;;;Dell;;;;;;;;;;;;;;;;;;4532.38;4532.38;Notebook Latitude 3440;;;;;;;;1;;;1;;;1;TCO Certified: Tak|Model: Latitude 3440|Liczba rdzeni: 10|Typ: Notebook|Intel vPro: Nie|Jasność: 250 nits|Rodzina procesora: Intel Core i5|Liczba wątków: 12|Cache L3: 12 MB|Taktowanie (Boost): 4.6 GHz|Generacja procesora: Trzynasta|Obsługa ECC: Nie|Pozostałe informacje o procesorze: Intel Core i5-1335U|Przekątna ekranu: 14''|Rozdzielczość: 1920 x 1080 (FHD 1080)|Powierzchnia matrycy: Matowa|Technologia podświetlania: Diody LED|Typ matrycy: TFT WVA|Ekran dotykowy: Nie|Model karty graficznej: Intel Iris Xe|Producent chipsetu: Intel|Zainstalowana pamięć RAM: 16 GB|Maks. wielkość pamięci: 64 GB|Liczba obsadzonych gniazd pamięci: 2|Rodzaj pamięci: DDR4|Częstotliwość szyny pamięci: 3200 MHz|Typ dysku: SSD|Pojemność SSD: 512 GB|Interfejs dysku SSD: PCI-Express|Napęd optyczny: Brak|Komunikacja: Bluetooth • LAN 10/100/1000 • WiFi 802.11 ax|Modem WWAN (3G) / LTE (4G): Nie|Gniazda rozszerzeń: Nie|Porty USB: 1 x USB 3.1 Type-C • 2 x USB 3.0 Type-A|Porty wideo: 1 x HDMI|Czytnik kart pamięci: Nie|Pozostałe porty we/wy: 1 x Audio (Combo) • 1 x RJ-45|Kamera internetowa: Tak|Pojemność baterii: 54 Wh|Typ ogniwa: Li-ion|Liczba komór: 3-komorowa|System operacyjny: Windows 11 Pro|Kolor: Szary|Wysokość: 17.68 mm|Szerokość: 322.17 mm|Głębokość: 219.43 mm|Waga: 1.54 kg|Typ gwarancji: gwarancja zewnętrzna|Okres gwarancji (miesiące): 36|Format szerokości SSD: M.2|Dokowanie: Nie|Podświetlana klawiatura: Tak|Akcesoria w zestawie: Dokumentacja Zasilacz 65W Europejski przewód zasilający|Czytnik linii papilarnych: Tak|Informacje o gwarancji: 3 lata Pro Support|Dodatkowe oprogramowanie: Wersja próbna pakietu Microsoft Office;0;new
24010;1;Dell Notebook Latitude 3440 Win11Pro i5-1335U/8GB/256GB SSD/14.0 FHD/Intel Iris Xe/FgrPr/FHD Cam/Mic/WLAN+BT/Backlit Kb/3 Cell/3;Laptopy\Notebooki\Ultrabooki;3948.60;;3948.60;0;0;0;;;;;;Dell;;;;;;;;;;;;;;;;;;3948.60;3948.60;Notebook Latitude 3440;;;;;;;;1;;;1;;;1;Intel vPro: Nie|Jasność: 250 nits|TCO Certified: Tak|Model: Latitude 3440|Liczba rdzeni: 10|Typ: Notebook|Rodzina procesora: Intel Core i5|Liczba wątków: 12|Cache L3: 12 MB|Taktowanie (Boost): 4.6 GHz|Generacja procesora: Trzynasta|Obsługa ECC: Nie|Pozostałe informacje o procesorze: Intel Core i5-1335U|Przekątna ekranu: 14''|Rozdzielczość: 1920 x 1280|Powierzchnia matrycy: Matowa|Technologia podświetlania: Diody LED|Typ matrycy: TFT IPS|Ekran dotykowy: Nie|Model karty graficznej: Intel Iris Xe|Producent chipsetu: Intel|Zainstalowana pamięć RAM: 8 GB|Maks. wielkość pamięci: 64 GB|Liczba obsadzonych gniazd pamięci: 1|Liczba wolnych gniazd pamięci: 1|Rodzaj pamięci: DDR4|Częstotliwość szyny pamięci: 3200 MHz|Typ dysku: SSD|Pojemność SSD: 256 GB|Interfejs dysku SSD: PCI-Express|Napęd optyczny: Brak|Komunikacja: Bluetooth • LAN 10/100/1000 • WiFi 802.11 ax|Modem WWAN (3G) / LTE (4G): Nie|Gniazda rozszerzeń: Nie|Porty USB: 1 x USB 3.1 Type-C • 3 x USB 3.0 Type-A|Porty wideo: 1 x HDMI|Czytnik kart pamięci: Nie|Pozostałe porty we/wy: 1 x Audio (Combo) • 1 x RJ-45|Kamera internetowa: Tak|Pojemność baterii: 54 Wh|Typ ogniwa: Li-ion|Liczba komór: 3-komorowa|System operacyjny: Windows 11 Pro|Kolor: Szary|Wysokość: 17.68 mm|Szerokość: 322.17 mm|Głębokość: 219.43 mm|Waga: 1.54 kg|Typ gwarancji: gwarancja zewnętrzna|Okres gwarancji (miesiące): 36|Format szerokości SSD: M.2|Dokowanie: Nie|Podświetlana klawiatura: Tak|Akcesoria w zestawie: Dokumentacja Zasilacz 65W Europejski przewód zasilający|Czytnik linii papilarnych: Tak|Informacje o gwarancji: 3 lata Pro Support|Dodatkowe oprogramowanie: Wersja próbna pakietu Microsoft Office;0;new
